year,avg_temp,10year-MA(Global),avg_temp,10year-MA(Dallas),,
1820,7.62,,16.88,,,
1821,8.09,,17.33,,,
1822,8.19,,17.87,,,
1823,7.72,,17.46,,,
1824,8.55,,17.9,,,
1825,8.39,,18.38,,,
1826,8.36,,17.93,,,
1827,8.81,,18.62,,,
1828,8.17,,18.26,,,
1829,7.94,8.184,17.89,17.852,,
1830,8.52,8.274,18.68,18.032,,
1831,7.64,8.229,16.98,17.997,,
1832,7.45,8.155,17.81,17.991,,
1833,8.01,8.184,18.29,18.074,,
1834,8.15,8.144,18.5,18.134,,
1835,7.39,8.044,16.58,17.954,,
1836,7.7,7.978,16.67,17.828,,
1837,7.38,7.835,17.47,17.713,,
1838,7.51,7.769,16.54,17.541,,
1839,7.63,7.738,17.64,17.516,,
1840,7.8,7.666,17.62,17.41,,
1841,7.69,7.671,17.66,17.478,,
1842,8.02,7.728,17.98,17.495,,
1843,8.17,7.744,17.44,17.41,,
1844,7.65,7.694,17.92,17.352,,
1845,7.85,7.74,17.76,17.47,,
1846,8.55,7.825,18.19,17.622,,
1847,8.09,7.896,17.06,17.581,,
1848,7.98,7.943,17.4,17.667,,
1849,7.98,7.978,17.86,17.689,,
1850,7.9,7.988,17.74,17.701,,
1851,8.18,8.037,17.91,17.726,,
1852,8.1,8.045,17.4,17.668,,
1853,8.04,8.032,17.17,17.641,,
1854,8.21,8.088,18.14,17.663,,
1855,8.11,8.114,17.61,17.648,,
1856,8,8.059,16.93,17.522,,
1857,7.76,8.026,17.31,17.547,,
1858,8.1,8.038,17.9,17.597,,
1859,8.25,8.065,17.91,17.602,,
1860,7.96,8.071,18.34,17.662,,
1861,7.85,8.038,18.41,17.712,,
1862,7.56,7.984,18.35,17.807,,
1863,8.11,7.991,17.9,17.88,,
1864,7.98,7.968,17.41,17.807,,
1865,8.18,7.975,17.95,17.841,,
1866,8.29,8.004,17.79,17.927,,
1867,8.44,8.072,18.45,18.041,,
1868,8.25,8.087,17.61,18.012,,
1869,8.43,8.105,16.94,17.915,,
1870,8.2,8.129,17.82,17.863,,
1871,8.12,8.156,18.27,17.849,,
1872,8.19,8.219,17.28,17.742,,
1873,8.35,8.243,17.37,17.689,,
1874,8.43,8.288,18.24,17.772,,
1875,7.86,8.256,17.24,17.701,,
1876,8.08,8.235,17.67,17.689,,
1877,8.54,8.245,17.53,17.597,,
1878,8.83,8.303,18.01,17.637,,
1879,8.17,8.277,18.37,17.78,,
1880,8.12,8.269,17.75,17.773,,
1881,8.27,8.284,18.17,17.763,,
1882,8.13,8.278,18.21,17.856,,
1883,7.98,8.241,17.77,17.896,,
1884,7.77,8.175,17.44,17.816,,
1885,7.92,8.181,16.82,17.774,,
1886,7.95,8.168,17.22,17.729,,
1887,7.91,8.105,17.89,17.765,,
1888,8.09,8.031,17.28,17.692,,
1889,8.32,8.046,17.71,17.626,,
1890,7.97,8.031,18.5,17.701,,
1891,8.02,8.006,17.35,17.619,,
1892,8.07,8,17.21,17.519,,
1893,8.06,8.008,18.01,17.543,,
1894,8.16,8.047,17.96,17.595,,
1895,8.15,8.07,17.02,17.615,,
1896,8.21,8.096,18.6,17.753,,
1897,8.29,8.134,17.93,17.757,,
1898,8.18,8.143,17.41,17.77,,
1899,8.4,8.151,17.59,17.758,,
1900,8.5,8.204,18.08,17.716,,
1901,8.54,8.256,18.02,17.783,,
1902,8.3,8.279,18.03,17.865,,
1903,8.22,8.295,16.64,17.728,,
1904,8.09,8.288,18.12,17.744,,
1905,8.23,8.296,16.97,17.739,,
1906,8.38,8.313,17.3,17.609,,
1907,7.95,8.279,18.44,17.66,,
1908,8.19,8.28,18.24,17.743,,
1909,8.18,8.258,18.62,17.846,,
1910,8.22,8.23,18.49,17.887,,
1911,8.18,8.194,19.11,17.996,,
1912,8.17,8.181,17.1,17.903,,
1913,8.3,8.189,17.57,17.996,,
1914,8.59,8.239,17.75,17.959,,
1915,8.59,8.275,17.67,18.029,,
1916,8.23,8.26,18.23,18.122,,
1917,8.02,8.267,17.3,18.008,,
1918,8.13,8.261,18.2,18.004,,
1919,8.38,8.281,17.41,17.883,,
1920,8.36,8.295,17.55,17.789,,
1921,8.57,8.334,19.48,17.826,,
1922,8.41,8.358,18.6,17.976,,
1923,8.42,8.37,18.15,18.034,,
1924,8.51,8.362,17.48,18.007,,
1925,8.53,8.356,18.98,18.138,,
1926,8.73,8.406,17.62,18.077,,
1927,8.52,8.456,18.79,18.226,,
1928,8.63,8.506,17.93,18.199,,
1929,8.24,8.492,17.58,18.216,,
1930,8.63,8.519,18.04,18.265,,
1931,8.72,8.534,18.57,18.174,,
1932,8.71,8.564,17.99,18.113,,
1933,8.34,8.556,19.34,18.232,,
1934,8.63,8.568,19.34,18.418,,
1935,8.52,8.567,18.09,18.329,,
1936,8.55,8.549,18.21,18.388,,
1937,8.7,8.567,17.94,18.303,,
1938,8.86,8.59,19.12,18.422,,
1939,8.76,8.642,19.16,18.58,,
1940,8.76,8.655,17.19,18.495,,
1941,8.77,8.66,18.27,18.465,,
1942,8.73,8.662,17.94,18.46,,
1943,8.76,8.704,18.42,18.368,,
1944,8.85,8.726,18.4,18.274,,
1945,8.58,8.732,18.06,18.271,,
1946,8.68,8.745,18.91,18.341,,
1947,8.8,8.755,17.96,18.343,,
1948,8.75,8.744,18.26,18.257,,
1949,8.59,8.727,18.05,18.146,,
1950,8.37,8.688,18.15,18.242,,
1951,8.63,8.674,18.63,18.278,,
1952,8.64,8.665,18.85,18.369,,
1953,8.87,8.676,18.82,18.409,,
1954,8.56,8.647,19.67,18.536,,
1955,8.63,8.652,18.73,18.603,,
1956,8.28,8.612,19.36,18.648,,
1957,8.73,8.605,18.1,18.662,,
1958,8.77,8.607,17.63,18.599,,
1959,8.73,8.621,17.75,18.569,,
1960,8.58,8.642,17.71,18.525,,
1961,8.8,8.659,17.68,18.43,,
1962,8.75,8.67,18.32,18.377,,
1963,8.86,8.669,18.84,18.379,,
1964,8.41,8.654,18.38,18.25,,
1965,8.53,8.644,18.54,18.231,,
1966,8.6,8.676,17.61,18.056,,
1967,8.7,8.673,18.33,18.079,,
1968,8.52,8.648,17.36,18.052,,
1969,8.6,8.635,18.15,18.092,,
1970,8.7,8.647,17.91,18.112,,
1971,8.6,8.627,18.51,18.195,,
1972,8.5,8.602,18.31,18.194,,
1973,8.95,8.611,17.98,18.108,,
1974,8.47,8.617,18.26,18.096,,
1975,8.74,8.638,17.95,18.037,,
1976,8.35,8.613,17.45,18.021,,
1977,8.85,8.628,18.88,18.076,,
1978,8.69,8.645,17.82,18.122,,
1979,8.73,8.658,17.11,18.018,,
1980,8.98,8.686,18.77,18.104,,
