year,city,country,avg_temp,10year-MA
1820,Dallas,United States,16.88,
1821,Dallas,United States,17.33,
1822,Dallas,United States,17.87,
1823,Dallas,United States,17.46,
1824,Dallas,United States,17.9,
1825,Dallas,United States,18.38,
1826,Dallas,United States,17.93,
1827,Dallas,United States,18.62,
1828,Dallas,United States,18.26,
1829,Dallas,United States,17.89,17.852
1830,Dallas,United States,18.68,18.032
1831,Dallas,United States,16.98,17.997
1832,Dallas,United States,17.81,17.991
1833,Dallas,United States,18.29,18.074
1834,Dallas,United States,18.5,18.134
1835,Dallas,United States,16.58,17.954
1836,Dallas,United States,16.67,17.828
1837,Dallas,United States,17.47,17.713
1838,Dallas,United States,16.54,17.541
1839,Dallas,United States,17.64,17.516
1840,Dallas,United States,17.62,17.41
1841,Dallas,United States,17.66,17.478
1842,Dallas,United States,17.98,17.495
1843,Dallas,United States,17.44,17.41
1844,Dallas,United States,17.92,17.352
1845,Dallas,United States,17.76,17.47
1846,Dallas,United States,18.19,17.622
1847,Dallas,United States,17.06,17.581
1848,Dallas,United States,17.4,17.667
1849,Dallas,United States,17.86,17.689
1850,Dallas,United States,17.74,17.701
1851,Dallas,United States,17.91,17.726
1852,Dallas,United States,17.4,17.668
1853,Dallas,United States,17.17,17.641
1854,Dallas,United States,18.14,17.663
1855,Dallas,United States,17.61,17.648
1856,Dallas,United States,16.93,17.522
1857,Dallas,United States,17.31,17.547
1858,Dallas,United States,17.9,17.597
1859,Dallas,United States,17.91,17.602
1860,Dallas,United States,18.34,17.662
1861,Dallas,United States,18.41,17.712
1862,Dallas,United States,18.35,17.807
1863,Dallas,United States,17.9,17.88
1864,Dallas,United States,17.41,17.807
1865,Dallas,United States,17.95,17.841
1866,Dallas,United States,17.79,17.927
1867,Dallas,United States,18.45,18.041
1868,Dallas,United States,17.61,18.012
1869,Dallas,United States,16.94,17.915
1870,Dallas,United States,17.82,17.863
1871,Dallas,United States,18.27,17.849
1872,Dallas,United States,17.28,17.742
1873,Dallas,United States,17.37,17.689
1874,Dallas,United States,18.24,17.772
1875,Dallas,United States,17.24,17.701
1876,Dallas,United States,17.67,17.689
1877,Dallas,United States,17.53,17.597
1878,Dallas,United States,18.01,17.637
1879,Dallas,United States,18.37,17.78
1880,Dallas,United States,17.75,17.773
1881,Dallas,United States,18.17,17.763
1882,Dallas,United States,18.21,17.856
1883,Dallas,United States,17.77,17.896
1884,Dallas,United States,17.44,17.816
1885,Dallas,United States,16.82,17.774
1886,Dallas,United States,17.22,17.729
1887,Dallas,United States,17.89,17.765
1888,Dallas,United States,17.28,17.692
1889,Dallas,United States,17.71,17.626
1890,Dallas,United States,18.5,17.701
1891,Dallas,United States,17.35,17.619
1892,Dallas,United States,17.21,17.519
1893,Dallas,United States,18.01,17.543
1894,Dallas,United States,17.96,17.595
1895,Dallas,United States,17.02,17.615
1896,Dallas,United States,18.6,17.753
1897,Dallas,United States,17.93,17.757
1898,Dallas,United States,17.41,17.77
1899,Dallas,United States,17.59,17.758
1900,Dallas,United States,18.08,17.716
1901,Dallas,United States,18.02,17.783
1902,Dallas,United States,18.03,17.865
1903,Dallas,United States,16.64,17.728
1904,Dallas,United States,18.12,17.744
1905,Dallas,United States,16.97,17.739
1906,Dallas,United States,17.3,17.609
1907,Dallas,United States,18.44,17.66
1908,Dallas,United States,18.24,17.743
1909,Dallas,United States,18.62,17.846
1910,Dallas,United States,18.49,17.887
1911,Dallas,United States,19.11,17.996
1912,Dallas,United States,17.1,17.903
1913,Dallas,United States,17.57,17.996
1914,Dallas,United States,17.75,17.959
1915,Dallas,United States,17.67,18.029
1916,Dallas,United States,18.23,18.122
