tweet_id,timestamp,text,rating_numerator,rating_denominator,name,dog_stage,rating,numerator,denominator,num_result,count_of_multiple,retweet_count,favorite_count,jpg_url,Predicted_Breed
892177421306343426,2017-08-01 00:17:27,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,Tilly,,13/10,13,10,True,1,6514,33819,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,chihuahua
891815181378084864,2017-07-31 00:18:03,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,Archie,,12/10,12,10,True,1,4328,25461,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,chihuahua
891327558926688256,2017-07-29 16:00:24,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12,10,Franklin,,12/10,12,10,True,1,9774,41048,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset
890971913173991426,2017-07-28 16:27:12,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13,10,Jax,,13/10,13,10,True,1,2158,12041,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,appenzeller
890609185150312448,2017-07-27 16:25:51,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13,10,Zoey,,13/10,13,10,True,1,4429,28226,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,irish terrier
890240255349198849,2017-07-26 15:59:51,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,10,Cassie,doggo,14/10,14,10,True,1,7711,32467,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,pembroke
890006608113172480,2017-07-26 00:31:25,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13,10,Koda,,13/10,13,10,True,1,7624,31166,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,samoyed
889880896479866881,2017-07-25 16:11:53,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13,10,Bruno,,13/10,13,10,True,1,5156,28268,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,french bulldog
889638837579907072,2017-07-25 00:10:02,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12,10,Ted,,12/10,12,10,True,1,4735,27672,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,french bulldog
889531135344209921,2017-07-24 17:02:04,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13,10,Stuart,puppo,13/10,13,10,True,1,2321,15359,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,golden retriever
889278841981685760,2017-07-24 00:19:32,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,13,10,Oliver,,13/10,13,10,True,1,5637,25652,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,whippet
888917238123831296,2017-07-23 00:22:39,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,12,10,Jim,,12/10,12,10,True,1,4709,29611,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,golden retriever
888804989199671297,2017-07-22 16:56:37,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,13,10,Zeke,,13/10,13,10,True,1,4559,26080,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,golden retriever
888554962724278272,2017-07-22 00:23:06,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,13,10,Ralphus,,13/10,13,10,True,1,3732,20290,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,siberian husky
